Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
0 days 01:04:25.156000,PIA,81,0 days 00:01:48.214000,1.0,1.0,,,,0 days 00:00:45.783000,0 days 00:00:24.952000,,0 days 01:04:00.244000,0 days 01:04:25.134000,231.0,247.0,280.0,250.0,False,SOFT,1.0,True,McLaren,0 days 01:02:36.652000,,12,16.0,False,,False,False
0 days 01:06:05.986000,PIA,81,0 days 00:01:40.830000,2.0,1.0,,,0 days 00:00:32.185000,0 days 00:00:43.977000,0 days 00:00:24.668000,0 days 01:04:57.319000,0 days 01:05:41.296000,0 days 01:06:05.964000,233.0,243.0,281.0,304.0,True,SOFT,2.0,True,McLaren,0 days 01:04:25.156000,,21,16.0,False,,False,True
0 days 01:07:46.677000,PIA,81,0 days 00:01:40.691000,3.0,1.0,,,0 days 00:00:31.877000,0 days 00:00:43.986000,0 days 00:00:24.828000,0 days 01:06:37.841000,0 days 01:07:21.827000,0 days 01:07:46.655000,232.0,242.0,285.0,302.0,True,SOFT,3.0,True,McLaren,0 days 01:06:05.986000,,1,16.0,False,,False,True
0 days 01:09:27.395000,PIA,81,0 days 00:01:40.718000,4.0,1.0,,,0 days 00:00:31.831000,0 days 00:00:44.079000,0 days 00:00:24.808000,0 days 01:08:18.486000,0 days 01:09:02.565000,0 days 01:09:27.373000,227.0,244.0,281.0,327.0,False,SOFT,4.0,True,McLaren,0 days 01:07:46.677000,,1,16.0,False,,False,True
0 days 01:11:08.257000,PIA,81,0 days 00:01:40.862000,5.0,1.0,,,0 days 00:00:31.846000,0 days 00:00:44.060000,0 days 00:00:24.956000,0 days 01:09:59.219000,0 days 01:10:43.279000,0 days 01:11:08.235000,228.0,232.0,284.0,309.0,False,SOFT,5.0,True,McLaren,0 days 01:09:27.395000,,1,16.0,False,,False,True
0 days 01:12:49.368000,PIA,81,0 days 00:01:41.111000,6.0,1.0,,,0 days 00:00:31.694000,0 days 00:00:44.425000,0 days 00:00:24.992000,0 days 01:11:39.929000,0 days 01:12:24.354000,0 days 01:12:49.346000,223.0,241.0,284.0,317.0,False,SOFT,6.0,True,McLaren,0 days 01:11:08.257000,,1,16.0,False,,False,True
0 days 01:14:30.535000,PIA,81,0 days 00:01:41.167000,7.0,1.0,,,0 days 00:00:31.716000,0 days 00:00:44.471000,0 days 00:00:24.980000,0 days 01:13:21.062000,0 days 01:14:05.533000,0 days 01:14:30.513000,226.0,230.0,284.0,320.0,False,SOFT,7.0,True,McLaren,0 days 01:12:49.368000,,1,16.0,False,,False,True
0 days 01:16:11.830000,PIA,81,0 days 00:01:41.295000,8.0,1.0,,,0 days 00:00:31.665000,0 days 00:00:44.590000,0 days 00:00:25.040000,0 days 01:15:02.178000,0 days 01:15:46.768000,0 days 01:16:11.808000,225.0,230.0,283.0,318.0,False,SOFT,8.0,True,McLaren,0 days 01:14:30.535000,,1,16.0,False,,False,True
0 days 01:17:53.364000,PIA,81,0 days 00:01:41.534000,9.0,1.0,,,0 days 00:00:31.989000,0 days 00:00:44.548000,0 days 00:00:24.997000,0 days 01:16:43.797000,0 days 01:17:28.345000,0 days 01:17:53.342000,223.0,230.0,283.0,315.0,False,SOFT,9.0,True,McLaren,0 days 01:16:11.830000,,1,16.0,False,,False,True
0 days 01:19:34.948000,PIA,81,0 days 00:01:41.584000,10.0,1.0,,,0 days 00:00:31.779000,0 days 00:00:44.617000,0 days 00:00:25.188000,0 days 01:18:25.121000,0 days 01:19:09.738000,0 days 01:19:34.926000,225.0,245.0,288.0,309.0,False,SOFT,10.0,True,McLaren,0 days 01:17:53.364000,,1,16.0,False,,False,True
0 days 01:21:16.300000,PIA,81,0 days 00:01:41.352000,11.0,1.0,,,0 days 00:00:31.894000,0 days 00:00:44.557000,0 days 00:00:24.901000,0 days 01:20:06.820000,0 days 01:20:51.377000,0 days 01:21:16.278000,222.0,240.0,277.0,315.0,False,SOFT,11.0,True,McLaren,0 days 01:19:34.948000,,1,13.0,False,,False,True
0 days 01:22:57.456000,PIA,81,0 days 00:01:41.156000,12.0,1.0,,,0 days 00:00:32.100000,0 days 00:00:44.235000,0 days 00:00:24.821000,0 days 01:21:48.378000,0 days 01:22:32.613000,0 days 01:22:57.434000,224.0,243.0,276.0,300.0,False,SOFT,12.0,True,McLaren,0 days 01:21:16.300000,,1,11.0,False,,False,True
0 days 01:24:59.527000,PIA,81,0 days 00:02:02.071000,13.0,1.0,,0 days 01:24:56.987000,0 days 00:00:34.839000,0 days 00:00:53.536000,0 days 00:00:33.696000,0 days 01:23:32.273000,0 days 01:24:25.809000,0 days 01:24:59.505000,151.0,202.0,,299.0,False,SOFT,13.0,True,McLaren,0 days 01:22:57.456000,,1,16.0,False,,False,False
