,Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
16,0 days 00:16:46.193000,15.6,84.0,999.5,True,21.2,201,2.9
18,0 days 00:18:46.194000,15.4,85.0,999.7,True,20.9,219,4.0
20,0 days 00:20:46.191000,15.0,86.0,999.7,True,20.5,251,3.2
22,0 days 00:22:46.198000,14.8,87.0,999.7,True,20.3,253,2.7
23,0 days 00:23:46.191000,14.7,87.0,999.7,True,20.4,251,2.5
25,0 days 00:25:46.189000,14.6,87.0,999.7,False,20.4,226,2.5
27,0 days 00:27:46.217000,14.5,88.0,999.7,False,20.5,249,2.2
29,0 days 00:29:46.204000,14.4,88.0,999.7,False,20.5,230,2.2
31,0 days 00:31:46.198000,14.4,88.0,999.7,False,20.5,201,1.3
33,0 days 00:33:46.188000,14.4,88.0,999.7,False,20.4,202,2.4
34,0 days 00:34:46.201000,14.3,88.0,999.7,False,20.4,204,2.5
36,0 days 00:36:46.221000,14.3,89.0,999.7,True,20.4,216,2.5
43,0 days 00:43:46.236000,14.2,89.0,999.9,True,19.7,230,2.9
45,0 days 00:45:46.238000,14.4,89.0,999.9,True,19.9,199,1.7
47,0 days 00:47:46.253000,14.4,89.0,999.7,True,20.1,210,2.4
49,0 days 00:49:46.257000,14.3,89.0,999.7,True,20.0,228,3.0
65,0 days 01:05:46.359000,14.3,91.0,999.9,False,20.0,198,2.4
67,0 days 01:07:46.366000,14.2,91.0,999.9,True,19.8,199,1.7
69,0 days 01:09:46.359000,14.3,91.0,999.9,True,19.7,245,3.0
71,0 days 01:11:46.373000,14.2,91.0,999.9,False,19.5,219,1.7
72,0 days 01:12:46.360000,14.2,91.0,999.9,True,19.4,242,1.2
74,0 days 01:14:46.388000,14.2,91.0,999.9,True,19.4,238,3.0
76,0 days 01:16:46.376000,14.2,91.0,999.9,True,19.3,201,2.7
