,Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
1,0 days 00:21:16.880000,HAM,44,0 days 00:01:27.160000,2.0,1.0,,,0 days 00:00:27.681000,0 days 00:00:35.380000,0 days 00:00:24.099000,0 days 00:20:17.401000,0 days 00:20:52.781000,0 days 00:21:16.880000,313.0,271.0,253.0,325.0,True,SOFT,2.0,True,Mercedes,0 days 00:19:49.720000,2021-07-16 17:05:36.412,1,,False,,False,True
3,0 days 00:25:21.264000,HAM,44,0 days 00:01:27.220000,4.0,1.0,,,0 days 00:00:27.796000,0 days 00:00:35.442000,0 days 00:00:23.982000,0 days 00:24:21.840000,0 days 00:24:57.282000,0 days 00:25:21.264000,311.0,267.0,252.0,322.0,False,SOFT,4.0,True,Mercedes,0 days 00:23:54.044000,2021-07-16 17:09:40.736,1,,False,,False,True
6,0 days 00:33:36.475000,HAM,44,0 days 00:01:26.786000,7.0,2.0,,,0 days 00:00:27.626000,0 days 00:00:35.244000,0 days 00:00:23.916000,0 days 00:32:37.315000,0 days 00:33:12.559000,0 days 00:33:36.475000,315.0,269.0,253.0,330.0,True,SOFT,7.0,False,Mercedes,0 days 00:32:09.689000,2021-07-16 17:17:56.381,1,,False,,False,True
9,0 days 00:43:24.786000,HAM,44,0 days 00:01:26.602000,10.0,3.0,,,0 days 00:00:27.508000,0 days 00:00:35.060000,0 days 00:00:24.034000,0 days 00:42:25.692000,0 days 00:43:00.752000,0 days 00:43:24.786000,314.0,271.0,252.0,322.0,True,SOFT,2.0,True,Mercedes,0 days 00:41:58.184000,2021-07-16 17:27:44.876,1,,False,,False,True
10,0 days 00:45:45.145000,HAM,44,0 days 00:02:20.359000,11.0,3.0,,,0 days 00:00:42.229000,0 days 00:01:05.366000,0 days 00:00:32.764000,0 days 00:44:07.015000,0 days 00:45:12.381000,0 days 00:45:45.145000,153.0,224.0,256.0,286.0,False,SOFT,3.0,True,Mercedes,0 days 00:43:24.786000,2021-07-16 17:29:11.478,1,,False,,False,True
11,0 days 00:47:12.494000,HAM,44,0 days 00:01:27.349000,12.0,3.0,,,0 days 00:00:27.445000,0 days 00:00:35.320000,0 days 00:00:24.584000,0 days 00:46:12.590000,0 days 00:46:47.910000,0 days 00:47:12.494000,313.0,270.0,240.0,320.0,False,SOFT,4.0,True,Mercedes,0 days 00:45:45.145000,2021-07-16 17:31:31.837,1,,False,,False,True
14,0 days 00:54:24.158000,HAM,44,0 days 00:01:26.023000,15.0,4.0,,,0 days 00:00:27.295000,0 days 00:00:34.977000,0 days 00:00:23.751000,0 days 00:53:25.430000,0 days 00:54:00.407000,0 days 00:54:24.158000,314.0,272.0,254.0,322.0,True,SOFT,2.0,True,Mercedes,0 days 00:52:58.135000,2021-07-16 17:38:44.827,1,,False,,False,True
17,0 days 01:08:08.791000,HAM,44,0 days 00:01:26.134000,18.0,5.0,,,0 days 00:00:27.352000,0 days 00:00:35.004000,0 days 00:00:23.778000,0 days 01:07:10.009000,0 days 01:07:45.013000,0 days 01:08:08.791000,315.0,273.0,254.0,323.0,True,SOFT,2.0,True,Mercedes,0 days 01:06:42.657000,2021-07-16 17:52:29.349,1,,False,,False,True
20,0 days 01:14:36.068000,HAM,44,0 days 00:01:26.282000,21.0,6.0,,,0 days 00:00:27.246000,0 days 00:00:34.883000,0 days 00:00:24.153000,0 days 01:13:37.032000,0 days 01:14:11.915000,0 days 01:14:36.068000,315.0,272.0,252.0,322.0,False,SOFT,2.0,True,Mercedes,0 days 01:13:09.786000,2021-07-16 17:58:56.478,1,,False,,False,True
21,0 days 01:16:46.137000,HAM,44,0 days 00:02:10.069000,22.0,6.0,,,0 days 00:00:39.356000,0 days 00:00:48.319000,0 days 00:00:42.394000,0 days 01:15:15.424000,0 days 01:16:03.743000,0 days 01:16:46.137000,171.0,245.0,39.0,298.0,False,SOFT,3.0,True,Mercedes,0 days 01:14:36.068000,2021-07-16 18:00:22.760,1,,False,,False,True
